"Reference","Qty","M","MPN","Description"
"C1,C2,C4","3","Murata","GRM32ER71K475KE14L","4.7 µF ±10% 80V Ceramic Capacitor X7R 1210 (3225 Metric)"
"C3,C7,C8,C9","4","TAIYO YUDEN","TMK325ABJ476MM-P","47 µF ±20% 25V Ceramic Capacitor X5R 1210 (3225 Metric)"
"C5","1","Murata","GRT1885C1E103FA02D","10000 pF ±1% 25V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"C6","1","Murata","GCM21BR71H105KA03L","1 µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"
"C10","1","Murata","GCM1885C2A100FA16D","10 pF ±1% 100V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"C11","1","KEMET","T521V226M025ATE040","22 µF Molded Tantalum Polymer Capacitor 25 V 2917 (7343 Metric) 40mOhm @ 100kHz"
"C12","1","Kemet","T521X107M025ATE060","100 µF Molded Tantalum Polymer Capacitor 25 V 2917 (7343 Metric) 60mOhm @ 100kHz"
"H1,H2,NT1","3","","","Mounting Hole with connection,Net tie, 2 pins"
"J1","1","Samtec","LSHM-140-04.0-L-DV-A-N-K-TR","80 Position Connector Self Mating, Non-Gendered, Hermaphroditic Surface Mount Gold"
"R1","1","Vishay","CRCW040244K2FKED","44.2 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"R2","1","Vishay","CRCW04028K87FKED","8.87 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"R3","1","Vishay","CRCW040261K9FKED","Resistor, small symbol"
"R4","1","Vishay","CRCW040224R0FKED","24 Ohms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"R5","1","Vishay","CRCW0402118KFKED","118 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"R6","1","Vishay","CRCW04022K00FKED","2 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"R7,R8","2","Vishay","RCWE0603R500FKEA","500 mOhms ±1% 0.2W, 1/5W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200, Current Sense, Moisture Resistant Thick Film"
"U1","1","Analog","LTM4653EY#PBF","Non-Isolated PoL Module DC DC Converter 1 Output 0.5 ~ 54.5V 4A 3.1V - 58V Input"
